mirId	Cancer	Profile	PubMed Article
hsa-mir-101	gastric cancer	down	MicroRNA-101 is down-regulated in gastric cancer and involved in cell migration and invasion.
hsa-mir-101	gastric cancer	down	MicroRNA-101 is down-regulated in gastric cancer and involved in cell migration and invasion.
hsa-mir-101	glioblastoma	down	miR-101 is down-regulated in glioblastoma resulting in EZH2-induced proliferation, migration, and angiogenesis.
hsa-mir-101	hepatocellular carcinoma	down	MicroRNAs in Hepatobiliary and Pancreatic Cancers.
hsa-mir-101	hepatocellular carcinoma	down	miR-101 inhibits autophagy and enhances cisplatin-induced apoptosis in hepatocellular carcinoma cells.
hsa-mir-101	lung cancer	down	microRNA-101 inhibits lung cancer invasion through the regulation of enhancer of zeste homolog 2.
hsa-mir-101	non-small cell lung cancer	down	MicroRNA-101 exerts tumor-suppressive functions in non-small cell lung cancer through directly targeting enhancer of zeste homolog 2.
hsa-mir-101	non-small cell lung cancer	down	MiR-101 and Mcl-1 in non-small-cell lung cancer: expression profile and clinical significance.
hsa-mir-101	prostate cancer	down	Enforced expression of miR-101 inhibits prostate cancer cell growth by modulating the COX-2 pathway in vivo.
hsa-mir-103	gastric cancer	up	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-mir-106a	cervical squamous cell carcinoma	down	MiRNAs and their association with locoregional staging and survival following surgery for esophageal carcinoma.
hsa-mir-106a	colorectal cancer	up	Candidate microRNA biomarkers in human colorectal cancer: Systematic review profiling studies and experimental validation.
hsa-mir-106a	gastric cancer	up	Circulating microRNAs in plasma of patients with gastric cancers.
hsa-mir-106a	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-106a	gastric cancer	up	miR-106a Is frequently upregulated in gastric cancer and inhibits the extrinsic apoptotic pathway by targeting FAS.
hsa-mir-106a	gastric cancer	up	Prognostic impact of circulating miR-21 in the plasma of patients with gastric carcinoma.
hsa-mir-106a	glioma	down	MiR-106a inhibits glioma cell growth by targeting E2F1 independent of p53 status.
hsa-mir-106a	non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-mir-106b	gastric cancer	up	Circulating microRNAs in plasma of patients with gastric cancers.
hsa-mir-106b	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-106b	gastric cancer	up	Prognostic impact of circulating miR-21 in the plasma of patients with gastric carcinoma.
hsa-mir-106b	glioma	up	Down-regulation of miR-106b suppresses the growth of human glioma cells.
hsa-mir-106b	hepatocellular carcinoma	up	Over-expression of miR-106b promotes cell migration and metastasis in hepatocellular carcinoma by activating epithelial-mesenchymal transition process.
hsa-mir-106b	laryngeal carcinoma	up	MiR-106b promotes cell proliferation via targeting RB in laryngeal carcinoma.
hsa-mir-107	acute promyelocytic leukemia	down	A restricted signature of miRNAs distinguishes APL blasts from normal promyelocytes.
hsa-mir-107	gastric cancer	up	MicroRNA-107, an oncogene microRNA that regulates tumour invasion and metastasis by targeting DICER1 in gastric cancer.
hsa-mir-107	gastric cancer	up	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-mir-107	glioma	down	P53-induced microRNA-107 inhibits proliferation of glioma cells and down-regulates the expression of CDK6 and Notch-2.
hsa-mir-107	glioma	down	MicroRNA-107 inhibits glioma cell migration and invasion by modulating Notch2 expression.
hsa-mir-107	head and neck squamous cell carcinoma	down	microRNA-107 functions as a candidate tumor-suppressor gene in head and neck squamous cell carcinoma by downregulation of protein kinase C?
hsa-mir-107	head and neck squamous cell carcinoma	down	Lipid-based nanoparticle delivery of Pre-miR-107 inhibits the tumorigenicity of head and neck squamous cell carcinoma.
hsa-mir-107	prostate carcinoma	down	Dysregulation of the mitogen granulin in human cancer through the miR-15/107 microRNA gene group.
hsa-mir-10a	cervical cancer	up	MicroRNA-10a targets CHL1 and promotes cell growth, migration and invasion in human cervical cancer cells.
hsa-mir-10a	chronic myelogenous leukemia	down	Down-regulation of hsa-miR-10a in chronic myeloid leukemia CD34+ cells increases USF2-mediated cell growth.
hsa-mir-10a	pancreatic cancer	up	MicroRNA-10a is overexpressed in human pancreatic cancer and involved in its invasiveness partially via suppression of the HOXA1 gene.
hsa-mir-10b	breast cancer	down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.
hsa-mir-10b	esophageal cancer	up	MicroRNA-10b promotes migration and invasion through KLF4 in human esophageal cancer cell lines.
hsa-mir-10b	gastric cancer	up	Clinicopathologic significance of miR-10b expression in gastric carcinoma.
hsa-mir-10b	gastric cancer	up	miR-10b promotes cell invasion through RhoC-AKT signaling pathway by targeting HOXD10 in gastric cancer.
hsa-mir-10b	glioblastoma	up	Oncogenic effects of miR-10b in glioblastoma stem cells.
hsa-mir-10b	glioma	up	MicroRNA-10b induces glioma cell invasion by modulating MMP-14 and uPAR expression via HOXD10.
hsa-mir-10b	hepatocellular carcinoma	up	MicroRNA-10b promotes migration and invasion through CADM1 in human hepatocellular carcinoma cells.
hsa-mir-10b	oral cancer	up	Oncogenic function and early detection potential of miRNA-10b in oral cancer as identified by microRNA profiling.
hsa-mir-10b	pancreatic cancer	up	MicroRNA-10b is overexpressed in pancreatic cancer.
hsa-mir-10b	pancreatic cancer	up	MicroRNA-10b is overexpressed in pancreatic cancer, promotes its invasiveness, and correlates with a poor prognosis.
hsa-mir-10b	pancreatic ductal adenocarcinoma	up	microRNAs as markers of survival and chemoresistance in pancreatic ductal adenocarcinoma.
hsa-mir-1179	colorectal cancer	up	MicroRNA expression profiles in human colorectal cancers with liver metastases.
hsa-mir-122	breast cancer	down	MiR-122 Inhibits Cell Proliferation and Tumorigenesis of Breast Cancer by Targeting IGF1R.
hsa-mir-122	hepatocellular carcinoma	down	MicroRNAs in Hepatobiliary and Pancreatic Cancers.
hsa-mir-122	hepatocellular carcinoma	down	microRNA-122 as a regulator of mitochondrial metabolic gene network in hepatocellular carcinoma.
hsa-mir-122	hepatocellular carcinoma	up	Epigenetic regulation of miR-122 by PPAR? and hepatitis B virus X protein in hepatocellular carcinoma cells.
hsa-mir-122	hepatocellular carcinoma	down	A novel GSK-3 beta-C/EBP alpha-miR-122-insulin-like growth factor 1 receptor regulatory circuitry in human hepatocellular carcinoma.
hsa-mir-122	hepatocellular carcinoma	up	Circulating microRNAs, miR-21, miR-122, and miR-223, in patients with hepatocellular carcinoma or chronic hepatitis.
hsa-mir-122	hepatocellular carcinoma	down	MicroRNA-122 sensitizes HCC cancer cells to adriamycin and vincristine through modulating expression of MDR and inducing cell cycle arrest.
hsa-mir-122	hepatocellular carcinoma	up	Expression of microRNAs, miR-21, miR-31, miR-122, miR-145, miR-146a, miR-200c, miR-221, miR-222, and miR-223 in patients with hepatocellular carcinoma or intrahepatic cholangiocarcinoma and its progno
hsa-mir-122	hepatocellular carcinoma	down	MicroRNA-122 inhibits tumorigenic properties of hepatocellular carcinoma cells and sensitizes these cells to sorafenib.
hsa-mir-122	hepatocellular carcinoma	down	MicroRNA-122 suppresses cell proliferation and induces cell apoptosis in hepatocellular carcinoma by directly targeting Wnt/?-catenin pathway.
hsa-mir-122	hepatocellular carcinoma	down	miR-122 affects the viability and apoptosis of hepatocellular carcinoma cells.
hsa-mir-122	liver cancer	down	MicroRNA-122, a tumor suppressor microRNA that regulates intrahepatic metastasis of hepatocellular carcinoma.
hsa-mir-122	pituitary carcinoma	up	MicroRNA expression in ACTH-producing pituitary tumors: up-regulation of microRNA-122 and -493 in pituitary carcinomas.
hsa-mir-122	renal clear cell carcinoma	up	miRNA profiling for clear cell renal cell carcinoma: biomarker discovery and identification of potential controls and consequences of miRNA dysregulation.
hsa-mir-1228*	gastric cancer	down	Restoration of miR-1228* expression suppresses epithelial-mesenchymal transition in gastric cancer.
hsa-mir-122a	gastrointestinal cancer	down	MicroRNA-122a functions as a novel tumor suppressor downstream of adenomatous polyposis coli in gastrointestinal cancers.
hsa-mir-122a	hepatocellular carcinoma	down	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-mir-122a	hepatocellular carcinoma	down	[MicroRNA profiling in patients with hepatocellular carcinoma].
hsa-mir-122a	hepatocellular carcinoma	down	Proteomic identification of microRNA-122a target proteins in hepatocellular carcinoma.
hsa-mir-1233	renal cell carcinoma	up	MicroRNAs in renal cell carcinoma: diagnostic implications of serum miR-1233 levels.
hsa-mir-124	anaplastic astrocytoma	down	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-mir-124	breast cancer	down	miR-124 suppresses multiple steps of breast cancer metastasis by targeting a cohort of pro-metastatic genes in vitro.
hsa-mir-124	breast cancer	down	Global microRNA level regulation of EGFR-driven cell-cycle protein network in breast cancer.
hsa-mir-124	breast cancer	down	MiR-124 targets Slug to regulate epithelial-mesenchymal transition and metastasis of breast cancer.
hsa-mir-124	cervical squamous cell carcinoma	down	Down-regulation of miR-124/-214 in cutaneous squamous cell carcinoma mediates abnormal cell proliferation via the induction of ERK.
hsa-mir-124	colorectal cancer	down	Downregulation of microRNA-124 is an independent prognostic factor in patients with colorectal cancer.
hsa-mir-124	colorectal cancer	down	MicroRNA-124 Regulates the Proliferation of Colorectal Cancer Cells by Targeting iASPP.
hsa-mir-124	gastric cancer	down	miR-124 inhibits cell proliferation in gastric cancer through down-regulation of SPHK1.
hsa-mir-124	glioblastoma	down	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-mir-124	glioblastoma	down	Downregulation of miR-124 promotes the growth and invasiveness of glioblastoma cells involving upregulation of PPP1R13L.
hsa-mir-124	hepatocellular carcinoma	down	MiR-124 suppresses cell proliferation in hepatocellular carcinoma by targeting PIK3CA.
hsa-mir-124	hepatocellular carcinoma	down	The putative tumour suppressor microRNA-124 modulates hepatocellular carcinoma cell aggressiveness by repressing ROCK2 and EZH2.
hsa-mir-124	medulloblastoma	down	miR-124 is frequently down-regulated in medulloblastoma and is a negative regulator of SLC16A1.
hsa-mir-124	neuroblastoma	down	Silencing of miR-124 induces neuroblastoma SK-N-SH cell differentiation, cell cycle arrest and apoptosis through promoting AHR.
hsa-mir-124	oral squamous cell carcinoma	down	MicroRNA-124 suppresses oral squamous cell carcinoma motility by targeting ITGB1.
hsa-mir-124	pancreatic cancer	down	Methylation-mediated silencing of the miR-124 genes facilitates pancreatic cancer progression and metastasis by targeting Rac1.
hsa-mir-124a	acute lymphoblastic leukemia	down	Epigenetic silencing of the tumor suppressor microRNA Hsa-miR-124a regulates CDK6 expression and confers a poor prognosis in acute lymphoblastic leukemia.
hsa-mir-124a	glioblastoma	down	miR-124a is frequently down-regulated in glioblastoma and is involved in migration and invasion.
hsa-mir-124a	mantle cell lymphoma	up	microRNA expression profile and identification of miR-29 as a prognostic marker and pathogenetic factor by targeting CDK6 in mantle cell lymphoma.
hsa-mir-1258	breast cancer	down	The expression and clinical significance of microRNA-1258 and heparanase in human breast cancer.
hsa-mir-1258	breast cancer	down	MicroRNA-1258 suppresses breast cancer brain metastasis by targeting heparanase.
hsa-mir-1259	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-125a	colorectal cancer	down	Candidate microRNA biomarkers in human colorectal cancer: Systematic review profiling studies and experimental validation.
hsa-mir-125a	glioblastoma	down	miR-29b and miR-125a regulate podoplanin and suppress invasion in glioblastoma.
hsa-mir-125a-3p	gastric cancer	down	Down-regulation of miR-125a-3p in human gastric cancer and its clinicopathological significance.
hsa-mir-125a-3p	non-small cell lung cancer	down	Hsa-miR-125a-3p and hsa-miR-125a-5p are downregulated in non-small cell lung cancer and have inverse effects on invasion and migration of lung cancer cells.
hsa-mir-125a-5p	breast cancer	down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.
hsa-mir-125a-5p	non-small cell lung cancer	down	Hsa-miR-125a-3p and hsa-miR-125a-5p are downregulated in non-small cell lung cancer and have inverse effects on invasion and migration of lung cancer cells.
hsa-mir-125b	bladder cancer	down	microRNA-125b inhibits cell migration and invasion by targeting matrix metallopeptidase 13 in bladder cancer.
hsa-mir-125b	bladder cancer	down	MicroRNA-125b suppresses the development of bladder cancer by targeting E2F3.
hsa-mir-125b	breast cancer	down	MicroRNA-125b induces metastasis by targeting STARD13 in MCF-7 and MDA-MB-231 breast cancer cells.
hsa-mir-125b	breast cancer	down	Differential expression of miR-21, miR-125b and miR-191 in breast cancer tissue.
hsa-mir-125b	breast cancer	down	MUCIN 1 ONCOPROTEIN EXPRESSION IS SUPPRESSED BY THE miR-125b ONCOMIR.
hsa-mir-125b	breast cancer	down	miR-125b is methylated and functions as a tumor suppressor by regulating the ETS1 proto-oncogene in human invasive breast cancer.
hsa-mir-125b	chronic lymphocytic leukemia	down	The down-regulation of miR-125b in chronic lymphocytic leukemias leads to metabolic adaptation of cells to a transformed state.
hsa-mir-125b	follicular cancer	up	MicroRNA expression profiling is a potential diagnostic tool for thyroid cancer.
hsa-mir-125b	gastric cancer	up	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-mir-125b	glioblastoma	down	Myc-associated zinc finger protein (MAZ) is regulated by miR-125b and mediates VEGF-induced angiogenesis in glioblastoma.
hsa-mir-125b	glioma	up	MiR-125b expression affects the proliferation and apoptosis of human glioma cells by targeting Bmf.
hsa-mir-125b	hepatocellular carcinoma	down	Diagnostic and prognostic implications of microRNAs in human hepatocellular carcinoma.
hsa-mir-125b	hepatocellular carcinoma	down	Regulation of placenta growth factor by microRNA-125b in hepatocellular cancer.
hsa-mir-125b	hepatocellular carcinoma	down	MicroRNA-125b promotes apoptosis by regulating the expression of Mcl-1, Bcl-w and IL-6R.
hsa-mir-125b	hepatocellular carcinoma	down	MicroRNA-125b Functions as a Tumor Suppressor in Hepatocellular Carcinoma Cells.
hsa-mir-125b	hepatocellular carcinoma	down	Histone lysine methyltransferase, SUV39H1, promotes HCC progression and is negatively regulated by microRNA-125b.
hsa-mir-125b	malignant melanoma	down	MicroRNA miR-125b controls melanoma progression by direct regulation of c-Jun protein expression.
hsa-mir-125b	neuroblastoma	up	MicroRNA-125b is a novel negative regulator of p53.
hsa-mir-125b	oral squamous cell carcinoma	down	Decreased expression of miR-125b and miR-100 in oral cancer cells contributes to malignancy.
hsa-mir-125b	osteosarcoma	down	miR-125b suppresses the proliferation and migration of osteosarcoma cells through down-regulation of STAT3.
hsa-mir-125b	ovarian cancer	down	Roles and Mechanism of miR-199a and miR-125b in Tumor Angiogenesis.
hsa-mir-125b	prostate cancer	up	Widespread deregulation of microRNA expression in human prostate cancer.
hsa-mir-125b	prostate cancer	up	Oncomir miR-125b suppresses p14(ARF) to modulate p53-dependent and p53-independent apoptosis in prostate cancer.
hsa-mir-125b-2*	colorectal cancer	up	MicroRNA expression profiles in human colorectal cancers with liver metastases.
hsa-mir-126	breast cancer	down	Endothelial-specific intron-derived miR-126 is down-regulated in human breast cancer and targets both VEGFA and PIK3R2.
hsa-mir-126	colon cancer	down	MiR-126 suppresses colon cancer cell proliferation and invasion via inhibiting RhoA/ROCK signaling pathway.
hsa-mir-126	colon cancer	down	Expression of miR-126 suppresses migration and invasion of colon cancer cells by targeting CXCR4.
hsa-mir-126	colorectal cancer	down	Down-regulation of miR-126 expression in colorectal cancer and its clinical significance.
hsa-mir-126	gastric cancer	down	miR-126 functions as a tumour suppressor in human gastric cancer.
hsa-mir-126	gastric cancer	up	MicroRNA-126 inhibits SOX2 expression and contributes to gastric carcinogenesis.
hsa-mir-126	gastric cancer	down	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-mir-126	hepatocellular carcinoma	down	Decreased expression of miR-126 correlates with metastatic recurrence of hepatocellular carcinoma.
hsa-mir-126	non-small cell lung cancer	down	miR-126 inhibits non-small cell lung cancer cells proliferation by targeting EGFL7.
hsa-mir-126	non-small cell lung cancer	down	miR-126 enhances the sensitivity of non-small cell lung cancer cells to anticancer agents by targeting vascular endothelial growth factor A.
hsa-mir-126	non-small cell lung cancer	down	MicroRNA-126 inhibits tumor cell growth and its expression level correlates with poor survival in non-small cell lung cancer patients.
hsa-mir-126	non-small cell lung cancer	down	Use of Luminex xMAP bead-based suspension array for detecting microRNA in NSCLC tissues and its clinical application.
hsa-mir-126	oral squamous cell carcinoma	up	Downregulation of miR-126 induces angiogenesis and lymphangiogenesis by activation of VEGF-A in oral cancer.
hsa-mir-126	pancreatic ductal adenocarcinoma	down	MicroRNAs Targeting Oncogenes Are Down-Regulated in Pancreatic Malignant Transformation from Benign Tumors.
hsa-mir-126	small cell lung cancer	down	miR-126 inhibits proliferation of small cell lung cancer cells by targeting SLC7A5.
hsa-mir-126*	non-small cell lung cancer	down	Clinical evaluation of microRNA expression profiling in non small cell lung cancer.
hsa-mir-1260b	renal cell carcinoma	up	Genistein downregulates onco-miR-1260b and inhibits Wnt-signalling in renal cancer cells.
hsa-mir-127	hepatocellular carcinoma	down	A Feedback Inhibition between miRNA-127 and TGF?/c-Jun Cascade in HCC Cell Migration via MMP13.
hsa-mir-127-3p	osteosarcoma	down	MicroRNA-199a-3p is downregulated in human osteosarcoma and regulates cell proliferation and migration.
hsa-mir-1271	hepatocellular carcinoma	down	A functional screening identifies five miRNAs controlling glypican-3: Role of miR-1271 down-regulation in hepatocellular carcinoma.
hsa-mir-128	acute lymphoblastic leukemia	up	Distinctive microRNA signature is associated with the diagnosis and prognosis of acute leukemia.
hsa-mir-128	acute myeloid leukemia	up	Distinctive microRNA signature is associated with the diagnosis and prognosis of acute leukemia.
hsa-mir-128	glioblastoma	down	Micro-RNA-128 (miRNA-128) down-regulation in glioblastoma targets ARP5 (ANGPTL6), Bmi-1 and E2F-3a, key regulators of brain cell proliferation.
hsa-mir-128	glioblastoma	down	PDGF-B-mediated downregulation of miR-21: new insights into PDGF signaling in glioblastoma.
hsa-mir-128	glioma	down	Targeting of the Bmi-1 oncogene/stem cell renewal factor by microRNA-128 inhibits glioma proliferation and self-renewal.
hsa-mir-128	glioma	down	MicroRNA-128 downregulates Bax and induces apoptosis in human embryonic kidney cells.
hsa-mir-128	glioma	down	MiR-128 inhibits tumor growth and angiogenesis by targeting p70S6K1.
hsa-mir-128	glioma	down	MicroRNA-128 inhibits glioma cells proliferation by targeting transcription factor E2F3a.
hsa-mir-128	prostate cancer	down	MicroRNA-128 downregulates Bax and induces apoptosis in human embryonic kidney cells.
hsa-mir-1280	bladder cancer	down	MicroRNA-1280 Inhibits Invasion and Metastasis by Targeting ROCK1 in Bladder Cancer.
hsa-mir-1285	renal cell carcinoma	down	Tumor suppressive microRNA-1285 regulates novel molecular targets: Aberrant expression and functional significance in renal cell carcinoma.
hsa-mir-128a	medulloblastoma	down	MicroRNA 128a increases intracellular ROS level by targeting Bmi-1 and inhibits medulloblastoma cancer cell growth by promoting senescence.
hsa-mir-129	breast cancer	down	[The down-regulation of miR-129 in breast cancer and its effect on breast cancer migration and motility].
hsa-mir-129-3p	gastric cancer	down	Epigenetic regulation of miR-34b and miR-129 expression in gastric cancer.
hsa-mir-1290	colon cancer	up	Up-regulation of microRNA-1290 impairs cytokinesis and affects the reprogramming of colon cancer cells.
hsa-mir-1296	prostate cancer	down	Regulation of minichromosome maintenance gene family by microRNA-1296 and genistein in prostate cancer.
hsa-mir-1297	lung adenocarcinoma	down	miR-511 and miR-1297 inhibit human lung adenocarcinoma cell proliferation by targeting oncogene TRIB2.
hsa-mir-130a	hepatocellular carcinoma	up	Upregulated miR-130a increases drug resistance by regulating RUNX3 and Wnt signaling in cisplatin-treated HCC cell.
hsa-mir-130b	ovarian cancer	down	Epigenetic silencing of miR-130b in ovarian cancer promotes the development of multidrug resistance by targeting colony-stimulating factor 1.
hsa-mir-130b*	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-132	pancreatic cancer	up	miR-132 and miR-212 are increased in pancreatic cancer and target the retinoblastoma tumor suppressor.
hsa-mir-132	pancreatic carcinoma	down	Downregulation of miR-132 by promoter methylation contributes to pancreatic cancer development.
hsa-mir-133a	bladder cancer	down	The tumour-suppressive function of miR-1 and miR-133a targeting TAGLN2 in bladder cancer.
hsa-mir-133a	bladder cancer	down	MicroRNA-133 inhibits cell proliferation, migration and invasion by targeting epidermal growth factor receptor and its downstream effector proteins in bladder cancer.
hsa-mir-133a	colorectal cancer	down	Candidate microRNA biomarkers in human colorectal cancer: Systematic review profiling studies and experimental validation.
hsa-mir-133a	esophageal squamous cell carcinoma	down	miR-145, miR-133a and miR-133b: Tumor-suppressive miRNAs target FSCN1 in esophageal squamous cell carcinoma.
hsa-mir-133a	esophageal squamous cell carcinoma	down	CD47 expression regulated by the miR-133a tumor suppressor is a novel prognostic marker in esophageal squamous cell carcinoma.
hsa-mir-133a	head and neck squamous cell carcinoma	down	Tumor suppressive microRNA-133a regulates novel targets: Moesin contributes to cancer cell proliferation and invasion in head and neck squamous cell carcinoma.
hsa-mir-133a	head and neck squamous cell carcinoma	down	Low-level expression of microRNAs let-7d and miR-205 are prognostic markers of head and neck squamous cell carcinoma.
hsa-mir-133a	lung squamous cell carcinoma	down	Tumor suppressive microRNA-133a regulates novel molecular networks in lung squamous cell carcinoma.
hsa-mir-133a	osteosarcoma	down	MicroRNA-133a, downregulated in osteosarcoma, suppresses proliferation and promotes apoptosis by targeting Bcl-xL and Mcl-1.
hsa-mir-133a	renal cell carcinoma	down	The functional significance of miR-1 and miR-133a in renal cell carcinoma.
hsa-mir-133b	bladder cancer	down	MicroRNA-133 inhibits cell proliferation, migration and invasion by targeting epidermal growth factor receptor and its downstream effector proteins in bladder cancer.
hsa-mir-133b	cervical carcinoma	up	MicroRNA-133b is a key promoter of cervical carcinoma development through the activation of the ERK and AKT1 pathways.
hsa-mir-133b	colorectal cancer	up	Association of microRNA expression with microsatellite instability status in colorectal adenocarcinoma.
hsa-mir-133b	esophageal squamous cell carcinoma	down	miR-145, miR-133a and miR-133b: Tumor-suppressive miRNAs target FSCN1 in esophageal squamous cell carcinoma.
hsa-mir-133b	gastric cancer	down	miR-133b acts as a tumor suppressor and negatively regulates FGFR1 in gastric cancer.
hsa-mir-133b	lung cancer	down	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-mir-135a	breast cancer	up	miRNA-135a promotes breast cancer cell migration and invasion by targeting HOXA10.
hsa-mir-135a	colorectal cancer	up	Association of microRNA expression with microsatellite instability status in colorectal adenocarcinoma.
